"Total_Response","Response"
107,"Family fun"
83,"History/Old West"
255,"National/State Parks"
5,"Arts and Culture"
16,"Casinos"
21,"Events/Entertainment"
100,"Wildlife Viewing"
40,"Outdoor Recreation"
41,"Motorcycling"
49,"Camping and RV"
11,"Archeology/Paleontology"
18,"Fishing"
9,"Hunting"
4,"Water Recreation"
3,"Culinary/Brewery/Wine"
5,"Rodeos"
122,"Scenic Byways/Drives"
24,"Native American Culture"
29,"Other"
