"Total_Response","Response","percentage_of_responses"
257,"Camping","11.19%"
327,"Wildlife viewing / bird watching","14.24%"
262,"Boating - motorboat, canoe, kayak","11.41%"
230,"Fishing","10.01%"
337,"Hiking","14.67%"
102,"Hunting","4.44%"
456,"Visiting state or national park or monument","19.85%"
136,"shooting","5.92%"
190,"Outdoor adventure - rock climbing, sky diving","8.27%"
