"Total_Response","Response"
38,"Called 800 Number to Request Info"
90,"Contacted Individual Attraction or Event to Request Information"
23,"Contacted Individual Chamber of Commerce to Request Information"
49,"None of These"
222,"Talked to Friends and Family"
377,"Used Internet"
125,"Used Online Review Site Such As TripAdvisor or Yelp"
37,"Used Online Travel Agency Such As Expedia or Orbitz"
26,"Used Social Media Such as Facebook or Pinterest"
