"Total_Response","Response"
64,"Sioux Falls"
21,"Yankton"
28,"Vermillion"
15,"Great Plains Zoo"
52,"Corn Palace"
3,"Palisades State Park"
1,"Music Museum"
17,"Prehistoric Indian Village"
15,"Lewis and Clark Rec Area"
24,"Falls Park"
57,"Downtown Sioux Falls"
11,"Other"
1,"Denny Sanford Premier Center"
0,"driving thru"
0,"Freeman"
6,"just riding"
1,"My sister's house"
0,"North Point Recreation area"
0,"Randall Dam"
0,"sisseton"
1,"Storybook land"
1,"travel thru"
0,"Tyndall"
1,"USS South Dakota"
