"Total_Response","Response"
13,"Watertown"
3,"Sisseton"
19,"Aberdeen"
4,"Huron"
9,"Fort Sisseton"
16,"Laura Ingalls Wilder"
14,"Redlin Art Center"
7,"Story Book Land"
7,"Children's Museum of South Dakota"
8,"Other"
1,"Big Stone City"
0,"big stone lake"
0,"Dakota Pairie Museum"
1,"Drive through"
0,"Flanderu"
6,"just riding"
0,"North Sioux"
