"Total_Response","Response"
170,"Family fun"
206,"History/Old West"
329,"National/State Parks"
78,"Arts and Culture"
64,"Casinos"
114,"Events/Entertainment"
266,"Wildlife Viewing"
206,"Outdoor Recreation"
46,"Motorcycling"
72,"Camping and RV"
30,"Archeology/Paleontology"
41,"Fishing"
15,"Hunting"
50,"Water Recreation"
90,"Culinary/Brewery/Wine"
18,"Rodeos"
277,"Scenic Byways/Drives"
158,"Native American Culture"
51,"Other"
