"Total_Response","Response","percentage_of_responses"
493,"Excitement","11.55%"
485,"adventure","11.36%"
489,"time with friends","11.45%"
369,"only do these on certain ocasians like when on vacation","8.64%"
442,"great way to spend time with kids","10.35%"
501,"great way to spend time outdoors","11.73%"
503,"great way to create memories","11.78%"
501,"enjoy looking at scenery","11.73%"
487,"something family enjoys","11.41%"
