"Total_Response","Response"
17,"Chamberlain/Oacoma"
8,"Platte"
3,"Mobridge"
32,"Missouri River"
12,"Als Oasis"
3,"Pioneer Auto"
20,"Pierre"
21,"State Capitol"
12,"Lake Oahe"
8,"Other"
1,"Aberdeen"
6,"just riding"
1,"Mitchell"
1,"travel thru"
1,"Water oark"
