"Total_Response","Response"
397,"Hotel, motel, inn, lodge, b&b, or resort"
71,"RV park/Campground"
13,"Homesharing/vacation rental"
10,"Condominium or Timeshare"
98,"With Friends or Family"
1,"Did not stay overnight"
4,"other"
0,"cabin"
0,"cabin of friend"
3,"camping"
1,"log cabin"
